#Dt, msdx1, msdy1, msdr1, msdx2, msdy2, msdr2 
36400, 15341.835345, 0.036050, 15341.871395, 15317.576152, 0.050752, 15317.626904
36600, 15513.621934, 0.038835, 15513.660769, 15485.223273, 0.062305, 15485.285578
36800, 15682.472211, 0.047480, 15682.519690, 15649.474912, 0.073551, 15649.548463
37000, 15859.228998, 0.055916, 15859.284914, 15823.432161, 0.076884, 15823.509044
37200, 16026.594981, 0.064358, 16026.659339, 15993.686187, 0.094078, 15993.780265
37400, 16205.229505, 0.069673, 16205.299179, 16162.712734, 0.090031, 16162.802765
37600, 16380.095873, 0.076610, 16380.172483, 16341.851247, 0.079686, 16341.930933
37800, 16554.202376, 0.097224, 16554.299601, 16511.364455, 0.074803, 16511.439257
38000, 16730.587001, 0.100595, 16730.687596, 16688.552985, 0.073196, 16688.626181
38200, 16899.748928, 0.108636, 16899.857563, 16867.842294, 0.079539, 16867.921833
38400, 17075.437760, 0.122292, 17075.560053, 17041.498237, 0.082927, 17041.581164
38600, 17253.416154, 0.131808, 17253.547962, 17224.631258, 0.091670, 17224.722928
38800, 17431.769515, 0.125353, 17431.894868, 17403.612421, 0.097875, 17403.710296
39000, 17605.588628, 0.116792, 17605.705420, 17582.222912, 0.104478, 17582.327391
39200, 17792.472976, 0.113912, 17792.586888, 17771.067408, 0.106920, 17771.174329
39400, 17972.332768, 0.127212, 17972.459980, 17943.265827, 0.135568, 17943.401394
39600, 18152.829885, 0.139824, 18152.969709, 18131.145501, 0.140879, 18131.286380
39800, 18337.606954, 0.153007, 18337.759960, 18319.473339, 0.148139, 18319.621478
40000, 18521.038956, 0.157785, 18521.196741, 18506.025076, 0.164500, 18506.189576
40200, 18714.942722, 0.175820, 18715.118542, 18687.032927, 0.150641, 18687.183568
40400, 18893.602800, 0.181842, 18893.784642, 18883.017587, 0.133803, 18883.151391
40600, 19082.664356, 0.169522, 19082.833879, 19066.027394, 0.125213, 19066.152607
40800, 19269.882224, 0.159055, 19270.041279, 19252.594050, 0.136017, 19252.730067
41000, 19458.871355, 0.146717, 19459.018073, 19442.948850, 0.140610, 19443.089461
41200, 19645.637500, 0.130478, 19645.767978, 19626.014380, 0.166882, 19626.181262
41400, 19840.338187, 0.133683, 19840.471870, 19820.753049, 0.193997, 19820.947046
41600, 20032.397892, 0.142826, 20032.540718, 20016.457207, 0.204942, 20016.662149
41800, 20221.516351, 0.139342, 20221.655693, 20203.618260, 0.205014, 20203.823275
42000, 20412.966982, 0.149092, 20413.116074, 20407.312632, 0.194667, 20407.507298
